CT114|KHT029|25/06/2025|1000000|2500000|800000
CT115|KHT029|26/06/2025|1100000|2500000|700000
CT116|KHT029|27/06/2025|1200000|2500000|800000
CT117|KHT029|28/06/2025|1000000|2500000|750000
CT118|KHT029|29/06/2025|1300000|2500000|850000
CT119|KHT030|28/06/2025|500000|1000000|300000
CT120|KHT030|29/06/2025|500000|1000000|250000
CT121|KHT030|30/06/2025|600000|1000000|300000
CT122|KHT030|01/07/2025|500000|1000000|200000
CT123|KHT031|05/07/2025|500000|1000000|300000
CT124|KHT031|06/07/2025|500000|1000000|200000
CT125|KHT031|07/07/2025|500000|1000000|250000
CT126|KHT032|10/07/2025|700000|1500000|400000
CT127|KHT032|11/07/2025|700000|1500000|300000
CT128|KHT032|12/07/2025|800000|1500000|350000
CT129|KHT033|18/07/2025|400000|800000|200000
CT130|KHT033|19/07/2025|400000|800000|150000
CT131|KHT034|25/07/2025|600000|1300000|350000
CT132|KHT034|26/07/2025|700000|1300000|300000
CT133|KHT034|27/07/2025|600000|1300000|350000
CT134|KHT034|28/07/2025|700000|1300000|400000
CT135|KHT035|30/07/2025|2000000|5000000|1500000
CT136|KHT035|31/07/2025|2000000|5000000|1400000
CT137|KHT035|01/08/2025|2100000|5000000|1500000
CT138|KHT035|02/08/2025|2200000|5000000|1600000
CT139|KHT035|03/08/2025|2000000|5000000|1500000
CT140|KHT035|04/08/2025|2300000|5000000|1700000
CT141|KHT036|05/08/2025|1000000|2000000|500000
CT142|KHT036|06/08/2025|1000000|2000000|400000
CT143|KHT036|07/08/2025|1100000|2000000|450000
CT144|KHT036|08/08/2025|1000000|2000000|500000
CT145|KHT036|09/08/2025|1200000|2000000|600000
CT146|KHT037|12/08/2025|600000|1200000|400000
CT147|KHT037|13/08/2025|700000|1200000|300000
CT148|KHT037|14/08/2025|600000|1200000|350000
CT149|KHT037|15/08/2025|700000|1200000|400000
CT150|KHT038|20/08/2025|1500000|3000000|1000000
CT151|KHT038|21/08/2025|1500000|3000000|1200000
CT152|KHT038|22/08/2025|1600000|3000000|1100000
CT153|KHT038|23/08/2025|1500000|3000000|1000000
CT154|KHT038|24/08/2025|1700000|3000000|1300000
CT155|KHT039|28/08/2025|700000|1500000|400000
CT156|KHT039|29/08/2025|700000|1500000|300000
CT157|KHT039|30/08/2025|800000|1500000|350000
CT158|KHT040|01/09/2025|1000000|2500000|800000
CT159|KHT040|02/09/2025|1100000|2500000|700000
CT160|KHT040|03/09/2025|1200000|2500000|800000
CT161|KHT040|04/09/2025|1000000|2500000|750000
CT162|KHT040|05/09/2025|1300000|2500000|850000
CT163|KHT041|05/09/2025|500000|1000000|300000
CT164|KHT041|06/09/2025|500000|1000000|250000
CT165|KHT041|07/09/2025|600000|1000000|300000
CT166|KHT041|08/09/2025|500000|1000000|200000
CT167|KHT042|15/09/2025|400000|800000|200000
CT168|KHT042|16/09/2025|400000|800000|150000
CT169|KHT043|20/09/2025|600000|1300000|350000
CT170|KHT043|21/09/2025|700000|1300000|300000
CT171|KHT043|22/09/2025|600000|1300000|350000
CT172|KHT043|23/09/2025|700000|1300000|400000
CT173|KHT044|25/09/2025|2000000|5000000|1500000
CT174|KHT044|26/09/2025|2000000|5000000|1400000
CT175|KHT044|27/09/2025|2100000|5000000|1500000
CT176|KHT044|28/09/2025|2200000|5000000|1600000
CT177|KHT044|29/09/2025|2000000|5000000|1500000
CT178|KHT044|30/09/2025|2300000|5000000|1700000
CT179|KHT044|01/10/2025|2000000|5000000|1500000
CT180|KHT045|05/10/2025|500000|1000000|300000
CT181|KHT045|06/10/2025|500000|1000000|200000
CT182|KHT045|07/10/2025|500000|1000000|250000
CT183|KHT046|10/10/2025|1000000|2000000|500000
CT184|KHT046|11/10/2025|1000000|2000000|400000
CT185|KHT046|12/10/2025|1100000|2000000|450000
CT186|KHT046|13/10/2025|1000000|2000000|500000
CT187|KHT046|14/10/2025|1200000|2000000|600000
CT188|KHT047|18/10/2025|600000|1200000|400000
CT189|KHT047|19/10/2025|700000|1200000|300000
CT190|KHT047|20/10/2025|600000|1200000|350000
CT191|KHT047|21/10/2025|700000|1200000|400000
CT192|KHT048|25/10/2025|1500000|3000000|1000000
CT193|KHT048|26/10/2025|1500000|3000000|1200000
CT194|KHT048|27/10/2025|1600000|3000000|1100000
CT195|KHT048|28/10/2025|1500000|3000000|1000000
CT196|KHT048|29/10/2025|1700000|3000000|1300000
CT197|KHT049|28/10/2025|700000|1500000|400000
CT198|KHT049|29/10/2025|700000|1500000|300000
CT199|KHT049|30/10/2025|800000|1500000|350000
CT200|KHT050|30/10/2025|500000|1000000|300000
CT201|KHT050|31/10/2025|500000|1000000|200000
CT202|KHT050|01/11/2025|500000|1000000|250000
